Label	Weight	Text
l_general	2.232558	terminado con
l_general	2.232558	contactar con el soporte
l_general	2.232558	por favor regrese
l_general	2.232558	¿cuál es el anterior
l_general	2.232558	quiero hablar con un humano real
l_general	2.232558	olvídalo
l_general	2.232558	¿cómo puedo conseguirlo
l_general	2.232558	oh no hagas eso
l_general	2.232558	lo que después de que
l_general	2.232558	estoy acabado
l_general	2.232558	puede ayudar a
l_general	2.232558	quiero que el derecho una
l_general	2.232558	dije que pare
l_general	2.232558	quiero ninguno de ellos
l_general	2.232558	ha terminado
l_general	2.232558	optar por derecho una
l_general	2.232558	quiero elegir un segundo
l_general	2.232558	mostrar los siguientes 4 artículos
l_general	2.232558	contacte con el servicio al cliente
l_general	2.232558	empezar de nuevo
l_general	2.232558	dar vuelta a la página
l_general	2.232558	me gusta la tercera opción
l_general	2.232558	seleccione superior
l_general	2.232558	quiero elegir abajo a la derecha
l_general	2.232558	salida salida
l_general	2.232558	elegir último uno
l_general	2.232558	no he escuchado
l_general	2.232558	mente de los nervios
l_general	2.232558	elija no. 2
l_general	2.232558	cancelar
l_general	2.232558	repetir
l_general	2.232558	no hagas eso
l_general	2.232558	detener por favor
l_general	2.232558	oh mi dios cállate
l_general	2.232558	nada no importa
l_general	2.232558	optar por el inferior elección
l_general	2.232558	elija el arriba a la izquierda elección
l_general	2.232558	ninguno
l_general	2.232558	nadie le importa dejar de hablar
l_general	2.232558	¿hay alguna ayuda
l_general	2.232558	me puedes ayudar
l_general	2.232558	¿hay algún humano real
l_general	2.232558	mostrar el siguiente
l_general	2.232558	me gusta el parte inferior una
l_general	2.232558	lo que antes de que
l_general	2.232558	bebé sólo estar tranquilo
l_general	2.232558	dejar de hablar
l_general	2.232558	mostrar las siguientes dos opciones
l_general	2.232558	me gusta arriba a la derecha
l_general	2.232558	mostrar los próximos 3
l_general	2.232558	quiero derecho una
l_general	2.232558	uno anterior
l_general	2.232558	otra vez
l_general	2.232558	elegir último
l_general	2.232558	claro y empezar de nuevo
l_general	2.232558	elija el abajo a la izquierda
l_general	2.232558	enviarlo
l_general	2.232558	ni gracias
l_general	2.232558	¿hay alguna persona con la que pueda hablar
l_general	2.232558	no no cancelar
l_general	2.232558	volver a
l_general	2.232558	optar por cualquiera de ellos
l_general	2.232558	iniciarlo
l_general	2.232558	vamos a parar
l_general	2.232558	muéstrame el siguiente
l_general	2.232558	quiero que el segundo
l_general	2.232558	volver al último paso
l_general	2.232558	ni
l_general	2.232558	parada de salida
